Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ministry,KE*A*H** (Psalm 69),spotify:track:0BX3ysoHJvxmLEhPMAfb2z,0.541,0.91,0,-5.114,1,0.0529,4.33e-06,0.597,0.79,0.397,125.076,audio_features,0BX3ysoHJvxmLEhPMAfb2z,spotify:track:0BX3ysoHJvxmLEhPMAfb2z,https://api.spotify.com/v1/tracks/0BX3ysoHJvxmLEhPMAfb2z,https://api.spotify.com/v1/audio-analysis/0BX3ysoHJvxmLEhPMAfb2z,292587,3
mewithoutYou,Emos Not Dead,spotify:track:1iHpG0hk6B4UZVy5yL5tpX,0.424,0.79,9,-6.675,1,0.047,0.0157,0.000255,0.0625,0.298,120.998,audio_features,1iHpG0hk6B4UZVy5yL5tpX,spotify:track:1iHpG0hk6B4UZVy5yL5tpX,https://api.spotify.com/v1/tracks/1iHpG0hk6B4UZVy5yL5tpX,https://api.spotify.com/v1/audio-analysis/1iHpG0hk6B4UZVy5yL5tpX,326067,4
Metallica,Ride The Lightning (Deluxe / Remastered),spotify:track:6YHB0Fvp1QfSmR5os8jexq,0.29,0.977,4,-5.487,1,0.169,0.000249,0.257,0.0801,0.166,100.919,audio_features,6YHB0Fvp1QfSmR5os8jexq,spotify:track:6YHB0Fvp1QfSmR5os8jexq,https://api.spotify.com/v1/tracks/6YHB0Fvp1QfSmR5os8jexq,https://api.spotify.com/v1/audio-analysis/6YHB0Fvp1QfSmR5os8jexq,395707,4
Metallica,Ride The Lightning (Deluxe / Remastered),spotify:track:2O7UGwJPVlix15Wn4sa5vw,0.257,0.975,9,-6.128,1,0.175,6.07e-05,0.1,0.222,0.276,149.312,audio_features,2O7UGwJPVlix15Wn4sa5vw,spotify:track:2O7UGwJPVlix15Wn4sa5vw,https://api.spotify.com/v1/tracks/2O7UGwJPVlix15Wn4sa5vw,https://api.spotify.com/v1/audio-analysis/2O7UGwJPVlix15Wn4sa5vw,396987,4
Metallica,Ride The Lightning (Remastered),spotify:track:2dXsILW8gzkosqleHAvl0v,0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,audio_features,2dXsILW8gzkosqleHAvl0v,spotify:track:2dXsILW8gzkosqleHAvl0v,https://api.spotify.com/v1/tracks/2dXsILW8gzkosqleHAvl0v,https://api.spotify.com/v1/audio-analysis/2dXsILW8gzkosqleHAvl0v,309973,4
Mercury Rev,All Is Dream (Expanded Edition),spotify:track:4yRLj9c4J8Owi5b7l0NH9V,0.545,0.233,0,-14.026,1,0.0285,0.929,0.0932,0.063,0.178,84.173,audio_features,4yRLj9c4J8Owi5b7l0NH9V,spotify:track:4yRLj9c4J8Owi5b7l0NH9V,https://api.spotify.com/v1/tracks/4yRLj9c4J8Owi5b7l0NH9V,https://api.spotify.com/v1/audio-analysis/4yRLj9c4J8Owi5b7l0NH9V,251533,4
Mercury Rev,Boces,spotify:track:2FKQbasMKGBy83mNHguh19,0.263,0.927,9,-5.945,1,0.0456,0.0108,0.854,0.478,0.572,133.095,audio_features,2FKQbasMKGBy83mNHguh19,spotify:track:2FKQbasMKGBy83mNHguh19,https://api.spotify.com/v1/tracks/2FKQbasMKGBy83mNHguh19,https://api.spotify.com/v1/audio-analysis/2FKQbasMKGBy83mNHguh19,246333,4
Mercury Rev,Boces,spotify:track:1NFWLWhmyHxomztDz0PEAM,0.164,0.916,11,-4.747,1,0.046,0.000396,0.876,0.367,0.643,160.933,audio_features,1NFWLWhmyHxomztDz0PEAM,spotify:track:1NFWLWhmyHxomztDz0PEAM,https://api.spotify.com/v1/tracks/1NFWLWhmyHxomztDz0PEAM,https://api.spotify.com/v1/audio-analysis/1NFWLWhmyHxomztDz0PEAM,169800,3
Mantar,The Spell,spotify:track:0RuuQis9jXh7iM6YfZqT8W,0.309,0.972,3,-3.838,0,0.146,0.000733,0.00456,0.273,0.175,114.275,audio_features,0RuuQis9jXh7iM6YfZqT8W,spotify:track:0RuuQis9jXh7iM6YfZqT8W,https://api.spotify.com/v1/tracks/0RuuQis9jXh7iM6YfZqT8W,https://api.spotify.com/v1/audio-analysis/0RuuQis9jXh7iM6YfZqT8W,180304,4
Mantar,Death by Burning,spotify:track:5qYbscTGKA6970RR3SSbq2,0.36,0.943,1,-3.847,1,0.0749,0.00013,0.0104,0.125,0.551,160.706,audio_features,5qYbscTGKA6970RR3SSbq2,spotify:track:5qYbscTGKA6970RR3SSbq2,https://api.spotify.com/v1/tracks/5qYbscTGKA6970RR3SSbq2,https://api.spotify.com/v1/audio-analysis/5qYbscTGKA6970RR3SSbq2,172560,4
