Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hillsong Young & Free,We Are Young & Free - EP (The Remixes),spotify:track:2NoLWx6dQciZuaNGxbEEi8,0.53,0.836,4,-5.75,1,0.0709,0.0116,0.000142,0.122,0.473,154.948,audio_features,2NoLWx6dQciZuaNGxbEEi8,spotify:track:2NoLWx6dQciZuaNGxbEEi8,https://api.spotify.com/v1/tracks/2NoLWx6dQciZuaNGxbEEi8,https://api.spotify.com/v1/audio-analysis/2NoLWx6dQciZuaNGxbEEi8,228867,4
Lindsey Stirling,Brave Enough,spotify:track:2e5jEkTwX8rxT90PAKgQei,0.633,0.872,0,-4.112,1,0.0717,0.00723,0,0.0524,0.536,116.936,audio_features,2e5jEkTwX8rxT90PAKgQei,spotify:track:2e5jEkTwX8rxT90PAKgQei,https://api.spotify.com/v1/tracks/2e5jEkTwX8rxT90PAKgQei,https://api.spotify.com/v1/audio-analysis/2e5jEkTwX8rxT90PAKgQei,216686,4
"Kundalini: Yoga, Meditation, Relaxation","Kundalini: Yoga, Meditation, Relaxation",spotify:track:5BEiN56kIj4zwQlk4KIwge,0.176,0.333,0,-9.665,1,0.0343,0.899,0.785,0.157,0.0373,80.761,audio_features,5BEiN56kIj4zwQlk4KIwge,spotify:track:5BEiN56kIj4zwQlk4KIwge,https://api.spotify.com/v1/tracks/5BEiN56kIj4zwQlk4KIwge,https://api.spotify.com/v1/audio-analysis/5BEiN56kIj4zwQlk4KIwge,130875,4
OneRepublic,I Lived (Arty Remix),spotify:track:4jEB3KAsjmNSQGQmQk4Ii8,0.413,0.816,9,-4.085,1,0.0483,0.236,0,0.0792,0.0997,128.098,audio_features,4jEB3KAsjmNSQGQmQk4Ii8,spotify:track:4jEB3KAsjmNSQGQmQk4Ii8,https://api.spotify.com/v1/tracks/4jEB3KAsjmNSQGQmQk4Ii8,https://api.spotify.com/v1/audio-analysis/4jEB3KAsjmNSQGQmQk4Ii8,267427,4
NF,Therapy Session,spotify:track:5aMQxORIw0LyQaKudg12KY,0.482,0.745,6,-6.796,1,0.303,0.192,0,0.0908,0.296,109.882,audio_features,5aMQxORIw0LyQaKudg12KY,spotify:track:5aMQxORIw0LyQaKudg12KY,https://api.spotify.com/v1/tracks/5aMQxORIw0LyQaKudg12KY,https://api.spotify.com/v1/audio-analysis/5aMQxORIw0LyQaKudg12KY,277293,4
Owl City,Mobile Orchestra,spotify:track:3bWLBVZz9Vur3OLy05SpfF,0.546,0.744,2,-6.892,1,0.0333,0.000181,1.17e-06,0.114,0.206,127.977,audio_features,3bWLBVZz9Vur3OLy05SpfF,spotify:track:3bWLBVZz9Vur3OLy05SpfF,https://api.spotify.com/v1/tracks/3bWLBVZz9Vur3OLy05SpfF,https://api.spotify.com/v1/audio-analysis/3bWLBVZz9Vur3OLy05SpfF,213027,4
RL Grime,Stay For It,spotify:track:69Lq3BWssbLhf4QDRtFY51,0.355,0.852,6,-3.966,0,0.0632,0.0134,1.98e-05,0.0774,0.173,143.925,audio_features,69Lq3BWssbLhf4QDRtFY51,spotify:track:69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/tracks/69Lq3BWssbLhf4QDRtFY51,https://api.spotify.com/v1/audio-analysis/69Lq3BWssbLhf4QDRtFY51,258082,4
Jai Wolf,Indian Summer,spotify:track:42nkVBjWYVhiijbof5zySm,0.507,0.824,6,-2.501,1,0.0526,0.0246,0.0451,0.0848,0.0394,84.992,audio_features,42nkVBjWYVhiijbof5zySm,spotify:track:42nkVBjWYVhiijbof5zySm,https://api.spotify.com/v1/tracks/42nkVBjWYVhiijbof5zySm,https://api.spotify.com/v1/audio-analysis/42nkVBjWYVhiijbof5zySm,248471,4
Kid Ink,Up & Away,spotify:track:0FsPxILNGMIKCb9OACFNt6,0.597,0.545,8,-6.956,1,0.102,0.339,0,0.107,0.344,134.043,audio_features,0FsPxILNGMIKCb9OACFNt6,spotify:track:0FsPxILNGMIKCb9OACFNt6,https://api.spotify.com/v1/tracks/0FsPxILNGMIKCb9OACFNt6,https://api.spotify.com/v1/audio-analysis/0FsPxILNGMIKCb9OACFNt6,250558,4
Young the Giant,Young The Giant (Special Edition),spotify:track:1KDYN3odJHnj9pqGHN3FVs,0.488,0.909,10,-6.591,1,0.0929,0.0011,1.02e-05,0.456,0.643,129.774,audio_features,1KDYN3odJHnj9pqGHN3FVs,spotify:track:1KDYN3odJHnj9pqGHN3FVs,https://api.spotify.com/v1/tracks/1KDYN3odJHnj9pqGHN3FVs,https://api.spotify.com/v1/audio-analysis/1KDYN3odJHnj9pqGHN3FVs,244400,4
Aloe Blacc,King Is Born,spotify:track:42oDlc0uKug0m43EKnqqJV,0.618,0.726,4,-3.758,0,0.0344,0.0423,0,0.128,0.431,100.938,audio_features,42oDlc0uKug0m43EKnqqJV,spotify:track:42oDlc0uKug0m43EKnqqJV,https://api.spotify.com/v1/tracks/42oDlc0uKug0m43EKnqqJV,https://api.spotify.com/v1/audio-analysis/42oDlc0uKug0m43EKnqqJV,191071,4
Hermitude,Dark Night Sweet Light,spotify:track:0JtcrEeY9i5ASLhT2uKbUF,0.726,0.583,0,-6.434,0,0.23,0.334,0.00135,0.122,0.491,140.943,audio_features,0JtcrEeY9i5ASLhT2uKbUF,spotify:track:0JtcrEeY9i5ASLhT2uKbUF,https://api.spotify.com/v1/tracks/0JtcrEeY9i5ASLhT2uKbUF,https://api.spotify.com/v1/audio-analysis/0JtcrEeY9i5ASLhT2uKbUF,221787,4
LANY,Make Out,spotify:track:3BwR5psKNxcyqWoc80eOuq,0.623,0.627,5,-6.73,1,0.0518,0.603,0.00908,0.316,0.459,100.04,audio_features,3BwR5psKNxcyqWoc80eOuq,spotify:track:3BwR5psKNxcyqWoc80eOuq,https://api.spotify.com/v1/tracks/3BwR5psKNxcyqWoc80eOuq,https://api.spotify.com/v1/audio-analysis/3BwR5psKNxcyqWoc80eOuq,211340,4
Kanye West,The Life Of Pablo,spotify:track:1eQBEelI2NCy7AUTerX0KS,0.592,0.403,0,-8.768,0,0.414,0.62,0,0.54,0.391,105.169,audio_features,1eQBEelI2NCy7AUTerX0KS,spotify:track:1eQBEelI2NCy7AUTerX0KS,https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS,https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS,320680,4
The Strumbellas,Hope,spotify:track:5U1eDhGNl6uUQThJ4nBm7z,0.54,0.729,0,-3.709,1,0.0276,0.169,0,0.112,0.779,80.454,audio_features,5U1eDhGNl6uUQThJ4nBm7z,spotify:track:5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/tracks/5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/audio-analysis/5U1eDhGNl6uUQThJ4nBm7z,203653,4
Empire of the Sun,Walking On A Dream,spotify:track:0mBkoM8r7KAQzZij5swTUL,0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,audio_features,0mBkoM8r7KAQzZij5swTUL,spotify:track:0mBkoM8r7KAQzZij5swTUL,https://api.spotify.com/v1/tracks/0mBkoM8r7KAQzZij5swTUL,https://api.spotify.com/v1/audio-analysis/0mBkoM8r7KAQzZij5swTUL,198440,4
Miguel,Rogue Waves,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,audio_features,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/tracks/3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/audio-analysis/3lB0GMiI5KxDbTOG8V3bOx,253347,4
Eminem,Intl Singles Box Set (International Version),spotify:track:6tucjwyDwFzQzVhIfz991S,0.69,0.747,2,-4.583,1,0.264,0.00984,0.000685,0.355,0.0703,171.367,audio_features,6tucjwyDwFzQzVhIfz991S,spotify:track:6tucjwyDwFzQzVhIfz991S,https://api.spotify.com/v1/tracks/6tucjwyDwFzQzVhIfz991S,https://api.spotify.com/v1/audio-analysis/6tucjwyDwFzQzVhIfz991S,326640,4
Chance the Rapper,Somewhere in Paradise (feat. Jeremih & R. Kelly),spotify:track:29BXCsh4lGLrndprkgYL6O,0.751,0.55,3,-8.588,0,0.454,0.361,0,0.162,0.671,119.665,audio_features,29BXCsh4lGLrndprkgYL6O,spotify:track:29BXCsh4lGLrndprkgYL6O,https://api.spotify.com/v1/tracks/29BXCsh4lGLrndprkgYL6O,https://api.spotify.com/v1/audio-analysis/29BXCsh4lGLrndprkgYL6O,246500,4
Trip Lee,The Waiting Room,spotify:track:6JQaznMcasPvBMUOMxxfrD,0.565,0.659,9,-8.401,0,0.0782,0.0489,0,0.338,0.592,92.501,audio_features,6JQaznMcasPvBMUOMxxfrD,spotify:track:6JQaznMcasPvBMUOMxxfrD,https://api.spotify.com/v1/tracks/6JQaznMcasPvBMUOMxxfrD,https://api.spotify.com/v1/audio-analysis/6JQaznMcasPvBMUOMxxfrD,210989,4
Trip Lee,The Waiting Room,spotify:track:3WSbTOsuBSKUeMa3Pddu7o,0.737,0.539,6,-9.881,1,0.153,0.0338,0,0.113,0.422,111.998,audio_features,3WSbTOsuBSKUeMa3Pddu7o,spotify:track:3WSbTOsuBSKUeMa3Pddu7o,https://api.spotify.com/v1/tracks/3WSbTOsuBSKUeMa3Pddu7o,https://api.spotify.com/v1/audio-analysis/3WSbTOsuBSKUeMa3Pddu7o,276009,4
